學院名稱,課程類別,課程編號,課程名稱,課程大綱,課程講師,課程時數(分鐘),課程狀態,授權日(起),授權日(訖),測驗方式,課程難易度,年度人氣指數,累積人氣指數,選課人數,完成人數
資訊科技學院,一、數位生活應用系列,10001233,第一單元： 機器學習及MLlib介紹,本課程內容涵蓋機器學習、資料處理，以及資料分析。將透過深入淺出的方式了解機器學習原理，使用Spark MLlib分析真實資料，學習之後能立即應用於日常工作上。,Bryan Yang,60,上架,2018/7/1,2019/7/1,無,初級,330,3337,334,107
資訊科技學院,一、數位生活應用系列,10001234,第二單元：資料型態及讀取資料,本課程內容涵蓋機器學習、資料處理，以及資料分析。將透過深入淺出的方式了解機器學習原理，使用Spark MLlib分析真實資料，學習之後能立即應用於日常工作上。,Bryan Yang,60,上架,2018/7/1,2019/7/1,無,初級,114,2415,138,59
資訊科技學院,一、數位生活應用系列,10001235,第三單元：基礎統計量及相關分析,本課程內容涵蓋機器學習、資料處理，以及資料分析。將透過深入淺出的方式了解機器學習原理，使用Spark MLlib分析真實資料，學習之後能立即應用於日常工作上。,Bryan Yang,60,上架,2018/7/1,2019/7/1,無,初級,101,2318,123,50
資訊科技學院,一、數位生活應用系列,10001236,第四單元：K-means分群模型 (K-means Clustering),本課程內容涵蓋機器學習、資料處理，以及資料分析。將透過深入淺出的方式了解機器學習原理，使用Spark MLlib分析真實資料，學習之後能立即應用於日常工作上。,Bryan Yang,60,上架,2018/7/1,2019/7/1,無,初級,51,797,75,44
資訊科技學院,一、數位生活應用系列,10001237,第五單元： Logistic 分類模型 (Logistic Regression),本課程內容涵蓋機器學習、資料處理，以及資料分析。將透過深入淺出的方式了解機器學習原理，使用Spark MLlib分析真實資料，學習之後能立即應用於日常工作上。,Bryan Yang,60,上架,2018/7/1,2019/7/1,無,初級,55,575,75,43
資訊科技學院,一、數位生活應用系列,10001238,第六單元：ALS推薦影片模型,本課程內容涵蓋機器學習、資料處理，以及資料分析。將透過深入淺出的方式了解機器學習原理，使用Spark MLlib分析真實資料，學習之後能立即應用於日常工作上。,Bryan Yang,60,上架,2018/7/1,2019/7/1,無,初級,49,523,69,44
資訊科技學院,一、數位生活應用系列,10001239,第一單元： 資料探勘應用-R語言初階,"1.課程包括二大部份。首先是R語言的下載、安裝與操作簡介、整合式開發環境RStudio介紹與圖形化使用者介面R Commander介紹。其次是套件、說明文件的使用，期望透過範例引導，掌握R在商業資料分析等應用。
2.課程包括二大部份，首先為資料物件操作與繪圖，最後是資料輸入、處理、輸出與統計分析。
3.課程目的為介紹R語言在預測模型的應用與案例解析。課程內容包括：
●預測模型簡介
●R在線性模型之使用套件說明
●R在非線性模型之使用套件說明
●R在廣義線性模型之使用套件說明。
4.期望透過案例引導掌握R在預測模型與商業應用。",李明昌,60,上架,2018/7/1,2019/7/1,無,初級,190,1780,211,112
資訊科技學院,一、數位生活應用系列,10001240,第二單元： 資料探勘應用-R語言圖形化與資料轉換,"1.課程包括二大部份。首先是R語言的下載、安裝與操作簡介、整合式開發環境RStudio介紹與圖形化使用者介面R Commander介紹。其次是套件、說明文件的使用，期望透過範例引導，掌握R在商業資料分析等應用。
2.課程包括二大部份，首先為資料物件操作與繪圖，最後是資料輸入、處理、輸出與統計分析。
3.課程目的為介紹R語言在預測模型的應用與案例解析。課程內容包括：
●預測模型簡介
●R在線性模型之使用套件說明
●R在非線性模型之使用套件說明
●R在廣義線性模型之使用套件說明。
4.期望透過案例引導掌握R在預測模型與商業應用。",李明昌,72,上架,2018/7/1,2019/7/1,無,初級,71,1287,89,60
資訊科技學院,一、數位生活應用系列,10001241,第三單元： Data Mining應用-R語言的非監督式與監督式學習,"1.課程包括二大部份。首先是R語言的下載、安裝與操作簡介、整合式開發環境RStudio介紹與圖形化使用者介面R Commander介紹。其次是套件、說明文件的使用，期望透過範例引導，掌握R在商業資料分析等應用。
2.課程包括二大部份，首先為資料物件操作與繪圖，最後是資料輸入、處理、輸出與統計分析。
3.課程目的為介紹R語言在預測模型的應用與案例解析。課程內容包括：
●預測模型簡介
●R在線性模型之使用套件說明
●R在非線性模型之使用套件說明
●R在廣義線性模型之使用套件說明。
4.期望透過案例引導掌握R在預測模型與商業應用。",李明昌,77,上架,2018/7/1,2019/7/1,無,初級,53,1247,75,46
資訊科技學院,一、數位生活應用系列,10001242,第四單元： Data Mining應用-使用R語言預測模型,"1.課程包括二大部份。首先是R語言的下載、安裝與操作簡介、整合式開發環境RStudio介紹與圖形化使用者介面R Commander介紹。其次是套件、說明文件的使用，期望透過範例引導，掌握R在商業資料分析等應用。
2.課程包括二大部份，首先為資料物件操作與繪圖，最後是資料輸入、處理、輸出與統計分析。
3.課程目的為介紹R語言在預測模型的應用與案例解析。課程內容包括：
●預測模型簡介
●R在線性模型之使用套件說明
●R在非線性模型之使用套件說明
●R在廣義線性模型之使用套件說明。
4.期望透過案例引導掌握R在預測模型與商業應用。",李明昌,60,上架,2018/7/1,2019/7/1,無,初級,48,574,67,44
資訊科技學院,一、數位生活應用系列,10001243,第一單元：重視溝通的敏捷新文化,"軟體業最重要的是工作文化 而敏捷新文化首重面對面溝通 我們探討溝通管道 溝通目的 及溝通佈置 (含溝通利器看板) 並談及台灣軟體業較弱的群育及英文 敏捷開發帶來的新觀念 及人際溝通的新研究等等 最後介紹廣為人知的極限開發法的文化(價值觀)及其實務。
本課程介紹敏捷宣言及匠藝宣言等產業升級的軌跡，再由不同長度的溝通週期 (短則五秒、長則兩月) 所進行的測試來帶動軟體開發，這叫測試帶動法。 最基本的溝通是雙人組開發，除溝通外，本課程也將介紹制訂myAgile的敏捷方法，包含需求工程、 架構設計及細部設計。",陳振炎,81,上架,2018/7/1,2019/7/1,無,初級,209,1878,252,117
資訊科技學院,一、數位生活應用系列,10001244,第二單元：由溝通來帶動軟體開發,"軟體業最重要的是工作文化 而敏捷新文化首重面對面溝通 我們探討溝通管道 溝通目的 及溝通佈置 (含溝通利器看板) 並談及台灣軟體業較弱的群育及英文 敏捷開發帶來的新觀念 及人際溝通的新研究等等 最後介紹廣為人知的極限開發法的文化(價值觀)及其實務。
本課程介紹敏捷宣言及匠藝宣言等產業升級的軌跡，再由不同長度的溝通週期 (短則五秒、長則兩月) 所進行的測試來帶動軟體開發，這叫測試帶動法。 最基本的溝通是雙人組開發，除溝通外，本課程也將介紹制訂myAgile的敏捷方法，包含需求工程、 架構設計及細部設計。",陳振炎,48,上架,2018/7/1,2019/7/1,無,初級,58,1276,101,65
資訊科技學院,一、數位生活應用系列,10001245,第三單元： myAgile 敏捷方法,"軟體業最重要的是工作文化 而敏捷新文化首重面對面溝通 我們探討溝通管道 溝通目的 及溝通佈置 (含溝通利器看板) 並談及台灣軟體業較弱的群育及英文 敏捷開發帶來的新觀念 及人際溝通的新研究等等 最後介紹廣為人知的極限開發法的文化(價值觀)及其實務。
本課程介紹敏捷宣言及匠藝宣言等產業升級的軌跡，再由不同長度的溝通週期 (短則五秒、長則兩月) 所進行的測試來帶動軟體開發，這叫測試帶動法。 最基本的溝通是雙人組開發，除溝通外，本課程也將介紹制訂myAgile的敏捷方法，包含需求工程、 架構設計及細部設計。",陳振炎,82,上架,2018/7/1,2019/7/1,無,初級,40,1260,81,37
資訊科技學院,二、哈燒職場進修系列,10000170,互動式自學系列-PowerPoint主管篇,"一、	PowerPoint使用說明
二、	案例實做
",中美通科技,60,上架,2006/7/31,2030/12/31,無,初級,143,7408,110,22
資訊科技學院,二、哈燒職場進修系列,10000606,Word 2007手冊套表應用王,"Word 2007不僅可以輕鬆利用樣式、格式的設定與各式圖例的插入來建立一份美觀文件，更可以很容易地編輯專業書籍手冊、論文報告…等長篇文件。本課程中以套印員工基本資料表格、書籍手冊論文報告的編排、填寫資料用的表單設計、寄送學員問候信函的合併列印、寄送用的合併列印信封或郵遞標籤、合併列印製作商品型錄手冊等範例，讓您進一步學習各種Word 2007的進階應用。
",張翠玲.陳怡文,60,上架,2008/6/23,2030/12/31,無,中級,98,10584,104,44
資訊科技學院,二、哈燒職場進修系列,10000608,Excel 2007 試算分析王,"Microsoft Office Excel是一套為人熟知、廣泛應用的軟體，Microsoft Office Excel 2007提供全新的新風貌，賞心悅目的嶄新界面、一目了然的圖案指引、互動引導的工具提示、快速呈現的即時預覽…等，在在提拱了Excel設計報表概念的新突破，讓我們可以快速建立各式專業的統計分析報表及統計圖表。
",張翠玲,60,上架,2008/6/23,2030/12/31,課後,中級,266,44619,515,275
資訊科技學院,二、哈燒職場進修系列,10000612,PowerPoint 2007 圖解技巧入門篇 上,"PowerPoint在2007的版本做了很大的修改，除了人性化的工作介面之外，也為了初學者做了許多貼心的設計，所以就算是初學者也可以做出專業的圖解效果。Smart Art可以快速的幫助你完成簡報的圖解效果，在沒有Smar Art之前，我們要建立簡報的圖解可能要花許多時間，但有了Smart Art後，簡報的圖解效果都可以在30秒內完成。
",蘇世榮,300,上架,2008/6/23,2030/12/31,課後,中級,214,14170,241,93
資訊科技學院,二、哈燒職場進修系列,10000613,PowerPoint 2007圖解技巧入門篇 下,"在初階圖解技巧(上)我們針對分類的圖解效果做了許多的範例來說明，而在初階圖解技巧(下)的課程中我們將針對連結的圖解和配置的圖解來做說明，讓大家可以針對分類、連結、配置來做完整的簡報圖解。\r\n這次除了使用Smart Art來建行圖解外，也會在加入繪圖工具來協助圖解美化。最後在加入適當的動畫，讓整份簡報更加的專業。
",蘇世榮,60,上架,2008/6/23,2030/12/31,課後,中級,84,7045,117,39
資訊科技學院,二、哈燒職場進修系列,10000620,Outlook 2007人脈管理王,"對於很多人而言，目前工作上使用郵件來與客戶或同事溝通，已是大家不可或缺的方式，所以Outlook 2007除了對郵件的編輯、管理提供更多的功能外，還包括：一、行事曆功能來管理行程及會議
二、工作功能提供待辦事項清單的管理
三、日誌則提供工作或生活上諸多事情的紀錄
四、連絡人在你將客戶資料建檔後，提供多樣化的管理功能
五、記事像電子的memo紙般可以隨意貼在桌面上
除此之外，身為Offcie 2007成員之一的Outlook，包含以結果導向的新使用介面，一定讓使用者驚艷外，也大幅提升我們工作的生產力，另外課程中還會介紹行動訊息服務的簡訊應用。",張大明,60,上架,2008/6/23,2030/12/31,無,中級,29,7618,51,20
資訊科技學院,二、哈燒職場進修系列,10000624,Acrobat PDF 數位文件設計,"電子文件一直廣為流傳於學術界之論文應用，現今電子文件流通的網際社會中，電子文件已不再只是學術界人士所偏愛運用的檔案格式，而是大多數發表電子流通文件作者們的考量了。在本課程當中，我們將介紹Acrobat的操作方式與使用要領，使您了解如何使用Acrobat Reader來閱讀電子文件，進而至Acrobat Maker中修改並編輯內容，更可以設定保全選項以保護文件。除了使文件可以完全落實跨平台之使用，達到最大的使用效能之外，更可完成文件互動電子化的期望。
",葉晴,60,上架,2008/6/23,2030/12/31,無,中級,21,5689,40,11
資訊科技學院,二、哈燒職場進修系列,10000625,Outlook在專案管理上的應用,"本課程主要介紹專案執行過程中，Outlook對時程管理上的協助及應用。尤其是多人時程上的安排，Outlook可藉由行事曆的共用，讓專案成員能解彼此的行程安排，不論是進行會議或是外出等各種行程安排，都會能輕鬆上手。
",初立德,60,上架,2008/6/23,2030/12/31,課後,中級,149,8891,145,46
資訊科技學院,二、哈燒職場進修系列,10000627,簡報圖解技巧進階篇  上,"圖示是最容易表達、最能撼動人心與加深印象的媒介。透過圖式的繪製，輔以精闢文字、數據的摘要說明，更能明確傳遞各種作業流程與訊息。所以簡報圖解技巧進階，可協助辦公室裡的一般行政秘書人員、各種領域的工作人員、以及從事各種技術性工作的使用者，可以輕鬆的在簡報中、傳遞及溝通複雜的構想、程序和邏輯思維，透過圖式的展現與溝通，讓他們可以採取更實際的有效行動。\r\n\r\n學會簡報圖解技巧進階您就可以將你的想法圖解化，讓您在與人溝通時更加的容易，也可以讓別人更清楚你的想法。
",蘇世榮,60,上架,2008/6/23,2030/12/31,課後,中級,156,10047,216,127
資訊科技學院,二、哈燒職場進修系列,10000628,簡報圖解技巧進階篇 下,"圖解除了使用繪圖工具列來繪製之外，Excel的圖表也是一種很好運用的功能，利用Excel的圖表，我們也可以繪製出一些精彩的圖解簡報。\r\n以及流程圖的繪製，應該也是簡報中很常運用到的，和利用真正的圖片來建立簡報的圖解，也是一種不錯的表現方式。學會簡報圖解技巧進階您就可以將你的想法圖解化，讓您在與人溝通時更加的容易，也可以讓別人更清楚你的想法。
",蘇世榮,60,上架,2008/6/23,2030/12/31,課後,中級,106,6261,163,79
資訊科技學院,二、哈燒職場進修系列,10000629,如何建立一個全新的專案計畫,"本課程主要介紹如何依照專案排程的順序，來建立專案計畫執行內容，將專案資訊依序輸入甘特圖中，包括時程、資源的資訊，過程中會學習到專案管理知識及專案執行基礎觀念，最後完成專案計畫初稿的建立，作為評估專案執行的依據。
",張大明,60,上架,2008/6/23,2030/12/31,課後,中級,93,7683,105,36
資訊科技學院,二、哈燒職場進修系列,10000630,如何建立資源並檢視資源分派的狀況,"本課程主要介紹如何在資源表中建立資源資訊，包括資源名稱、資源類型、最大可用量、成本資訊等，在甘特圖檢視中為任務分派資源，檢視資源分派後的結果，是否有發生資源過度分派的情形，可由資源工作表、資源使用狀況、資源圖表等，來檢視資源分派的情形，也可配合篩選器篩選發生資源過度分派的資源。
",張大明,60,上架,2008/6/23,2030/12/31,課後,高級,24,4393,50,22
資訊科技學院,二、哈燒職場進修系列,10000632,Word 短篇文件編輯,"Word這套電腦文書處理軟體，提供了非常簡易親和的使用者界面，並且簡化了一般的文書編輯工作，讓使用者以最少的時間完成更多的工作。不論是最基本的文件，或是學術研究者所需撰寫的研究報告，到專業性的文件如產品型錄，公文等等，都可利用Word輕鬆製作。本課程將介紹Word的三大主功能，文字編輯、表格設計與圖文整合，使您在學會本課程後得以輕鬆運用Word製作出最適當的文件。
",陳怡文,60,上架,2008/6/23,2030/12/31,課後,中級,167,10179,177,87
資訊科技學院,二、哈燒職場進修系列,10000633,Word企劃書製作,"Word軟體不僅是一套電腦文書處理軟體，更是最簡易上手的排版軟體。不論是最基本的文件，或是學術研究者所需撰寫的研究報告，到專業性的文件如企劃書、公司簡介及產品型錄等等，都可利用Word輕鬆製作。本課程將介紹如何使用Word來製作包含有圖表說明的分析文件，以及安排企劃書的整體版面設計方式，加強您做企劃書的能力。
",陳怡文,60,上架,2008/6/23,2030/12/31,課後,中級,102,9799,105,48
